,counts,type,mean,std
Magnesium Sulfate,2879,Drugs,0.00212694775395,0.00778467291216
Magnesium level (mg/dL),11806,Labs,1.87671056568,0.231684837927
Mean airway pressure (cmH2O),64368,Interventions,10.1086478229,2.0704042449
Meropenem,4704,Drugs,0.00242325726444,0.0115995323437
Metamyelocytes %,3356,Labs,2.4771688207,1.74952631333
Methadone,4950,Drugs,0.00102662067945,0.00502467976126
Methylprednisolone,7337,Drugs,0.00683208300222,0.0228053932233
Metoclopramide,2522,Drugs,0.00178186476095,0.00782605672566
Metronidazole,2835,Drugs,0.00199264929864,0.00830104421529
Micafungin,996,Drugs,0.000292917848997,0.00243913641355
Midazolam HCl,51857,Drugs,0.0183943246827,0.0419506314021
Milrinone,41073,Drugs,0.00772658710396,0.00957967783162
Monocytes %,16260,Labs,7.83934514469,3.33914954124
Morphine,36042,Drugs,0.0618744076611,0.127304925437
MotorResponse,272984,Vitals,5.54372545653,0.367856873933
Mycophenolate Mofetl,436,Drugs,0.000472994333565,0.00243734555526
Myelocytes %,2333,Labs,1.93603710324,1.14449270939
NIV set rate (bpm),5059,Interventions,16.6738056643,2.38624428967
Naloxone HCL,4440,Drugs,0.00619552040698,0.00725367041117
Near-infrared spectroscopy (%),1597,Vitals,62.4169280644,6.37239304623
Nesiritide,733,Drugs,0.000156284660736,0.000540494286899
Neutrophils %,16344,Labs,64.0184362233,9.9006598361
Nifedipine,1375,Drugs,0.00083299606298,0.00481898487765
Nitric Oxide,3014,Interventions,12.2907902135,6.85376494238
Nitroprusside,2705,Drugs,0.00175707891937,0.00303084276403
Norepinephrine,3345,Drugs,0.00188624398763,0.00398186726208
Nystatin,2475,Drugs,0.00142842160446,0.00583201923769
O2 Flow (LPM),66447,Interventions,3.24033407147,1.53705025228
Octreotide Acetate,1982,Drugs,0.00165982947364,0.00213201297257
Olanzapine,1851,Drugs,0.000562866650794,0.00299283884458
Ondansetron,5983,Drugs,0.00925642815843,0.0434889487629
Oxacillin,1015,Drugs,0.000551374555812,0.00220993513159
Oxcarbazepine,339,Drugs,0.000375201779118,0.00175416184345
Oxycodone,1035,Drugs,0.00142545468266,0.00664204471134
Oxygentaion index,20576,Labs,2.13269836889,0.865125407006
P/F ratio,23133,Labs,357.317608261,122.064567569
PEEP (LungInSc),115522,Interventions,0.916060790102,0.390237750069
PEEP (cmH2O),75130,Interventions,5.82584055385,0.852307563301
PT,10397,Labs,14.6537833513,2.54171170173
PTT,10900,Labs,36.4682053223,10.0307135308
PaO2/FiO2(LungInSc),17148,Labs,1.48071670524,0.793767896039
Pantoprazole,6992,Drugs,0.00328952966294,0.0203098341062
Peak Inspiratory Pressure (cmH2O),63296,Interventions,21.6021187002,2.88189928468
Pentobarbital,11174,Drugs,0.00135548599576,0.00426948334081
Peritoneal dyalisis,2076,Interventions,95.5339703707,32.4488209777
Phenobarbital,3129,Drugs,0.00230570767414,0.0110554985236
Phosphorus level (mg/dL),11666,Labs,4.52125048659,1.02131389265
Piperacillin/Tazobactam,8998,Drugs,0.00518605323641,0.0212051403111
Platelet count (K/uL),23958,Labs,234.868912272,41.4914477998
Potassium,53726,Labs,3.99611545214,0.47545153353
Potassium Chloride,25033,Drugs,0.0169789999929,0.0415537865976
Potassium Phosphate,2123,Drugs,0.00166805765843,0.00440707988316
Pressure support (cmH2O),65578,Interventions,10.0106015986,1.34159279298
Procainamide,649,Drugs,0.000443620466323,0.000587486515564
Propofol,3376,Drugs,0.00243138735395,0.00887177257757
Propranolol HCl,709,Drugs,0.000370379675826,0.00153883038101
Prostacyclin,1440,Drugs,0.000847547636611,0.000705988828703
Protein total (g/dL),10436,Labs,5.86532666905,0.537147956827
PulseOximetry,738275,Vitals,97.6826487419,2.87756555283
Pupillary response,71974,Vitals,0.907534563276,0.132712662851
RBC blood (M/uL),23508,Labs,3.81838470407,0.339364274251
RDW  (%),23037,Labs,14.6347611182,0.424766627375
Racemic Epi,598,Drugs,0.00058688517008,0.00471451923023
Ranitidine,36963,Drugs,0.0346184882138,0.130058645097
Respiratory rate (bpm),725786,Vitals,24.4331948183,5.85092583747
Right pupillary response,189536,Vitals,2.69716977616,0.476825405603
Risperidone,641,Drugs,0.00020606089417,0.00103180640995
Rocuronium,999,Drugs,0.000559662645025,0.00647490099867
Schistocytes,4184,Labs,2.05847942208,0.0740208034788
Sildenafil,3129,Drugs,0.000844579666241,0.00308040331521
Sodium,55699,Labs,139.499768083,2.85656275489
Sodium Bicarbonate,3899,Drugs,0.00316011888031,0.0104956603999
Sodium Chloride,11736,Drugs,0.00497213415062,0.0164124386567
Sodium Phosphate,852,Drugs,0.000878223567465,0.00266654507992
Spironolactone,2456,Drugs,0.00111465699527,0.00570548967137
Sucralfate,1227,Drugs,0.000724977132002,0.00296681868921
SystolicBP,594900,Vitals,105.982847806,11.5057862896
Tacrolimus,5398,Drugs,0.00240436854954,0.00665499568497
Temperature ( C),258274,Vitals,37.1237547098,0.5016874722
Terbutaline,783,Drugs,0.00113560770549,0.00187314636482
Tidal volume delivered (ml),56613,Interventions,177.952558851,35.4449723996
Tidal volume expiratory (ml),62579,Interventions,185.979857537,39.3138095645
Tidal volume inspiratory (ml),62236,Interventions,204.39778075,41.2915501201
Tidal volume set (ml),4812,Interventions,272.841373935,11.6245906711
Tobramycin,2486,Drugs,0.00128117161773,0.00662344058562
Topiramate,876,Drugs,0.000866024510363,0.0037099539977
Tracheostomy,16785,Interventions,4.66787799835,0.0466731918875
Treprostinil,951,Drugs,0.000674495790625,0.000460480459629
Triglycerides (mg/dL),2981,Labs,169.70706369,52.2941818789
Trimethoprim/Sulfamethoxazole,2431,Drugs,0.00108652107449,0.00687931534898
Ursodiol,1127,Drugs,0.000437984089945,0.00248839552275
VBG Base excess (mEq/L),8410,Labs,-0.257846492521,3.33734848746
VBG FiO2,3965,Labs,38.7687058288,8.10236692093
VBG HCO3 (mEq/L),8410,Labs,25.7114869207,3.22929835
VBG O2 sat  (%),8397,Labs,72.4095434632,9.47031135054
VBG PCO2 (mmHg),8422,Labs,46.8443942691,6.77730184621
VBG PO2 (mmHg),8423,Labs,45.829093954,9.66854212975
VBG TCO2 (mEq/L),8403,Labs,27.1595370808,3.29639383184
VBG pH,8419,Labs,7.345476911,0.0577015881286
Valproic Acid,2032,Drugs,0.00105205519544,0.00407510667642
Vancomycin,11136,Drugs,0.0118215271162,0.0527928339831
Vasopressin,7389,Drugs,0.00280751805705,0.00564647960298
Vecuronium,6043,Drugs,0.00181285344892,0.0126340822616
Ventilator rate (bpm),209059,Interventions,17.475903124,3.25083575063
VerbalResponse,272604,Vitals,3.68923813596,0.631507996509
Vitamin E,712,Drugs,0.000253290124176,0.00141497186298
Volume Tidal,24535,Interventions,7.54426841159,1.64744005547
Voriconazole,824,Drugs,0.000509558726634,0.00283500014374
Weight,68143,Vitals,30.4256583871,0.512936892662
White blood cell count (K/uL),23509,Interventions,12.3780898948,3.29560999812
deltat,1113529,,0.563017538965,0.357071831764
mortalityResponse,1113529,,0.9556,0.0
